SKU,Status,New_Price,New_Cost,New_Stock
3214432,Updated,1559,973.0,103
3214448,Updated,2399,1496.0,16
3214457,Updated,3809,2378.0,16
3214468,Updated,3359,2098.0,16
3324604,Updated,5699,3562.0,9
3324605,Updated,6449,4030.0,2
3324606,Updated,6329,3956.0,1
3324607,Updated,6199,3875.0,1
3324609,Updated,4919,3072.0,43
3324610,Updated,4849,3028.0,56
3324611,Updated,4919,3072.0,41
3324612,Updated,5219,3261.0,8
3324613,Updated,5219,3261.0,7
3324614,Updated,5219,3261.0,7
3324615,Updated,5219,3261.0,10
3324616,Updated,5219,3261.0,11
3324617,Updated,5109,3191.0,15
3324618,Updated,5069,3166.0,22
3324629,Updated,5109,3189.0,38
3324630,Updated,5109,3189.0,31
3324631,Updated,5259,3287.0,6
3324632,Updated,5259,3287.0,7
3324634,Updated,5259,3287.0,7
3324635,Updated,5259,3287.0,5
3324637,Updated,5649,3527.0,1
3324639,Updated,5089,3178.0,18
3324640,Updated,5419,3383.0,17
3324641,Updated,6709,4188.0,4
3324643,Updated,5189,3238.0,3
3324645,Updated,5179,3235.0,5
3324646,Updated,5179,3235.0,5
3324658,Updated,6069,3790.0,11
3324659,Updated,6459,4033.0,3
3324660,Updated,5669,3543.0,0
3324661,Updated,6259,3908.0,3
3324663,Updated,6259,3907.0,0
3324664,Updated,6249,3906.0,0
3324666,Updated,6299,3937.0,0
3324686,Updated,4279,2669.0,12
3324687,Updated,5029,3139.0,2
3324688,Updated,4919,3070.0,1
3324727,Updated,3869,2417.0,5
3324728,Updated,3869,2417.0,6
3324740,Updated,4629,2893.0,17
3324741,Updated,5089,3176.0,12
3324742,Updated,4219,2635.0,0
3324743,Updated,4849,3027.0,3
3324745,Updated,4849,3028.0,0
3324746,Updated,4849,3027.0,0
3324748,Updated,4879,3050.0,0
3324836,Updated,4129,2577.0,2
3325142,Updated,1489,926.0,26
3325188,Updated,3639,2274.0,12
3325189,Updated,3569,2229.0,35
3325191,Updated,3569,2229.0,9
3325192,Updated,3179,1983.0,9
3325194,Updated,3069,1914.0,5
3325195,Updated,3009,1878.0,42
3325196,Updated,3779,2360.0,5
3325197,Updated,3779,2359.0,14
3325198,Updated,3169,1981.0,19
3325202,Updated,2249,1403.0,16
3325227,Updated,2999,1872.0,70
3325228,Updated,2999,1869.0,47
3325230,Updated,2879,1794.0,51
3328374,Updated,1489,927.0,48
3328376,Updated,1399,874.0,41
3328377,Updated,1449,901.0,23
3328378,Updated,1449,901.0,19
3328609,Updated,4979,3112.0,0
3328611,Updated,3889,2430.0,0
3328614,Updated,3159,1972.0,6
3328616,Updated,2899,1808.0,6
3328618,Updated,4359,2724.0,6
3328619,Updated,3009,1881.0,26
3328620,Updated,3019,1882.0,9
3328648,Updated,2369,1477.0,189
3328649,Updated,2429,1518.0,92
3328650,Updated,2829,1768.0,24
3328651,Updated,2909,1817.0,33
3328653,Updated,2579,1610.0,92
3328655,Updated,3069,1913.0,33
3328689,Updated,3599,2250.0,85
3328690,Updated,4219,2633.0,22
3328691,Updated,3479,2175.0,53
3328692,Updated,3629,2263.0,70
3328694,Updated,1799,1124.0,85
3328695,Updated,2769,1727.0,70
3328696,Updated,3419,2137.0,53
3328698,Updated,3739,2332.0,34
3329099,Updated,3009,1880.0,12
3329102,Updated,4079,2549.0,43
3329103,Updated,4839,3024.0,10
3329104,Updated,5029,3139.0,12
3329105,Updated,4109,2563.0,12
3329106,Updated,4179,2612.0,39
3329107,Updated,4009,2504.0,12
3329108,Updated,4169,2606.0,39
3329109,Updated,5029,3140.0,12
3329110,Updated,5339,3333.0,19
